title,authors,re_article,re_details
[Re] Reproducibility Study of “Quantifying Societal Bias Amplification in Image Captioning”,"Farrukh Baratov, Göksenin Yüksel, Darie Petcu, Jan Bakker",https://github.com/ReScience/MLRC/blob/main/2022/26/article.pdf,https://openreview.net/forum?id=eJmQJT0Dtt
[Re] On the reproducibility of “CrossWalk: Fairness-Enhanced Node Representation Learning”,"Eric Zila, Jonathan Gerbscheid, Luc Sträter, Kieron Kretschmar",https://github.com/ReScience/MLRC/blob/main/2022/27/article.pdf,https://openreview.net/forum?id=WnaVgRhlyT
[Re] Reproducing FairCal: Fairness Calibration for Face Verification,"Jip Greven, Simon Stallinga, Zirk Seljee",https://github.com/ReScience/MLRC/blob/main/2022/28/article.pdf,https://openreview.net/forum?id=jDBYRwDpeW
[Re] Reproducibility Study of ’CartoonX: Cartoon Explanations of Image Classifiers’,"Sina Taslimi, Luke Chin A Foeng, Pratik Kayal, Aditya Prakash Patra",https://github.com/ReScience/MLRC/blob/main/2022/29/article.pdf,https://openreview.net/forum?id=DWKJpl8s06
[Re] Reproducibility Study of ”Latent Space Smoothing for Individually Fair Representations”,"Didier Merk, Denny Smit, Boaz Beukers, Tsatsral Mendsuren",https://github.com/ReScience/MLRC/blob/main/2022/30/article.pdf,https://openreview.net/forum?id=J-Lgb7Vc0wX
[Re] Variational Neural Cellular Automata,"Albert Aillet, Simon Sondén",https://github.com/ReScience/MLRC/blob/main/2022/31/article.pdf,https://openreview.net/forum?id=d7-ns6SZqp
"[Re] If you like Shapley, then you’ll love the core","Anes Benmerzoug, Miguel de Benito Delgado",https://github.com/ReScience/MLRC/blob/main/2022/32/article.pdf,https://openreview.net/forum?id=vWzZQAahuW
[Re] A Reproduction of Automatic Multi-Label Prompting: Simple and Interpretable Few-Shot Classification,"Victor Livernoche, Vidya Sujaya",https://github.com/ReScience/MLRC/blob/main/2022/33/article.pdf,https://openreview.net/forum?id=t8ZZ2Y356Ix
[¬Re] G-Mixup: Graph Data Augmentation for Graph Classification,"Dylan Cordaro, Shelby Cox, Yiman Ren, Teresa Yu",https://github.com/ReScience/MLRC/blob/main/2022/34/article.pdf,https://openreview.net/forum?id=T54wy0ahGLG&noteId=pvukxfvJGX
[Re] Exploring the Role of Grammar and Word Choice in Bias Toward African American English (AAE) in Hate Speech Classification,"Priyanka Bose, Chandra Shekhar Pandey, Fraida Fund",https://github.com/ReScience/MLRC/blob/main/2022/35/article.pdf,https://openreview.net/forum?id=MjZVx7a0KX-
